id,entered_s,exited_s,wait_seconds
1,0.69,5.60,4.90
2,0.69,6.77,5.99
1,10.19,14.26,4.07
9,8.14,21.74,13.61
1,16.27,24.88,8.61
35,23.86,28.04,4.08
58,28.85,32.73,3.87
58,34.72,37.03,2.31
58,41.87,44.37,2.50
1,34.35,46.60,12.25
37,24.70,46.96,22.27
1,51.25,54.98,3.73
102,56.23,60.17,3.85
64,47.78,67.39,19.61
119,64.51,67.39,2.78
83,48.06,67.68,19.62
110,64.32,73.36,8.93
127,72.14,74.18,2.04
137,70.18,74.18,3.90
140,71.19,74.27,3.09
138,71.19,78.09,6.90
135,76.04,80.41,4.27
144,77.54,80.71,3.06
138,80.31,81.66,1.25
153,84.47,88.27,3.70
147,82.16,89.10,6.93
140,76.04,94.75,18.62
142,76.04,96.10,20.05
157,93.55,98.56,4.93
186,96.72,99.19,2.46
64,69.32,99.50,30.18
64,102.53,108.99,6.47
210,106.88,109.26,2.38
221,112.01,115.14,3.14
192,103.45,115.14,11.61
219,119.94,125.33,5.32
233,126.62,132.79,6.17
221,115.49,137.83,22.34
261,134.31,140.08,5.68
275,145.87,147.63,1.69
280,148.03,162.87,14.77
295,166.20,185.56,19.36
302,191.90,204.24,12.34
317,200.50,204.56,4.06
302,206.41,207.01,0.50
328,207.86,208.28,0.31
316,197.54,209.21,11.67
327,207.20,210.21,3.00
316,210.50,217.69,7.19
327,213.42,218.27,4.73
341,216.05,219.03,2.86
346,217.80,219.58,1.67
317,205.54,219.68,14.03
352,219.79,220.52,0.61
316,219.99,220.73,0.63
360,221.74,222.25,0.41
365,222.76,224.84,2.08
355,224.84,225.41,0.46
357,223.17,226.97,3.80
370,223.40,227.46,3.93
354,220.19,228.70,8.51
384,227.46,229.15,1.60
351,219.24,235.01,15.68
403,235.45,235.91,0.37
410,236.65,236.82,0.09
387,232.14,239.00,6.86
400,237.55,240.61,3.06
